,SMILES,pIC50,num_atoms,logP
10111,COc1ncc(-c2ccncc2)cc1C#N,0.01,16,2.02388
10112,COC(=O)Cn1cnc([N+](=O)[O-])n1,,13,-0.6406999999999998
10113,CCOC(=O)c1cnc2n(c1=O)CCC(C)C2,0.1,17,1.0023000000000002
10114,CC(C)OCC(O)Cn1ccnc1[N+](=O)[O-],0.26,16,0.5771999999999999
10115,COCCn1ccnc1[N+](=O)[O-],0.37,12,0.4376999999999998
10116,O=[N+]([O-])c1nccn1CCCOc1ccccc1,0.01,18,2.2604
10117,CC(=O)Cn1ccnc1[N+](=O)[O-],0.42,12,0.3802999999999999
10118,CCOCCn1ccnc1[N+](=O)[O-],0.15,13,0.8278
10119,O=[N+]([O-])c1nccn1CCOc1ccccc1,0.01,17,1.8703
10120,COCC(O)Cn1cc([N+](=O)[O-])nc1C,0.78,15,0.1070199999999998
10121,CS(=O)(=O)CCn1ccnc1[N+](=O)[O-],,14,-0.1641000000000001
10122,O=[N+]([O-])c1nccn1CCS(=O)(=O)c1ccccc1,0.05,19,1.2652
10123,CNC(=O)ON=Cc1ccc(Cl)cc1,0.01,14,2.0299
10124,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,0.01,23,1.95092
10125,CCSc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,0.0,22,2.361
10126,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1-n1cccc1,0.01,24,2.0397
10127,Nc1ccn(C2CC(CO)C(O)C2O)c(=O)n1,,17,-1.8994000000000004
10128,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,0.04,30,1.3838999999999997
10129,CCS(=O)(=O)c1cc(OC)c(OC)c(OC)c1,0.03,17,1.506
10130,COc1cc(S(=O)(=O)CCC(C)C)cc(OC)c1OC,0.0,20,2.5322000000000005
10131,CCCS(=O)(=O)c1cc(OC)c(OC)c(OC)c1,0.01,18,1.8961
10132,COc1cc(S(=O)(=O)CC(O)c2ccccc2)cc(OC)c1OC,0.01,24,2.2197
10133,CCCCN(C)CCS(=O)(=O)c1cc(OC)c(OC)c(OC)c1,0.01,23,2.218000000000001
10134,CCCCN(CCCC)CCS(=O)(=O)c1cc(OC)c(OC)c(OC)c1,0.0,26,3.3883000000000028
10135,CCN(CC)CCNC(=O)c1cc(Br)ccc1OC,0.0,19,2.529300000000001
10136,CCN(CC)CCNC(=O)c1cc(Cl)cc(Cl)c1,0.0,18,3.0650000000000013
10137,CCOC(=O)C(C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1,0.0,25,4.603900000000004
10138,COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1C(NC(=O)C(F)(F)F)CC2,0.0,31,3.111000000000001
10139,CCNC(=O)NC(C)=O,,9,-0.1480000000000001
10140,C[N+](C)(C)Cc1cccc([N+](=O)[O-])c1,0.02,14,1.801
10141,C[N+](C)(C)Cc1cccc(C(N)=O)c1,0.1,14,0.9917
10142,C[N+](C)(C)Cc1cccc(N)c1,0.03,12,1.475
10143,C[N+](C)(C)Cc1cccc(O)c1,0.03,12,1.5984
10144,C[N+](C)(C)Cc1cccc(C(F)(F)F)c1,0.0,15,2.9116000000000017
10145,COc1cc2c(c(OC)c1OC)-c1ccc(=O)c(OC)cc1C(NC(=O)C(F)(F)F)CC2,0.0,32,3.414000000000001
10146,COc1cccnc1CCCCNc1ncc(Cc2ccc(C)nc2)c(=O)[nH]1,0.0,28,2.902520000000001
10147,COc1ccc(C(=O)CCCC(=O)O)cc1Cl,0.0,17,2.786200000000001
10148,Cc1cccc(O[Si]23OCCN(CCO2)CCO3)c1,0.06,19,1.1884199999999998
10149,CNc1ccc(S(=O)(=O)N(C)C)cc1,0.11,14,0.9786
10150,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c(Cl)c1,0.0,34,7.093000000000002
10151,COc1cc(Cc2cnc(N)nc2N)cc(O)c1O,0.22,19,0.6515999999999997
10152,CCCCCCN1CC(C(=O)OC)CC1=O,0.03,16,1.5882
10153,Cc1nn(C)c(OCC(=O)c2ccccc2)c1C(=O)c1ccc(Cl)cc1Cl,0.0,27,4.528020000000003
10154,Clc1cc(Cl)c(Oc2ccc(Cl)c(Cl)c2Cl)cc1Cl,0.0,19,7.399300000000001
